Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
ABCA7,ABCX,ENSG00000064687,ATP binding cassette subfamily A member 7,19,1040101-1065572,"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,HPA041564,Enhanced,NA,Supported,Golgi apparatus<br>Plasma membrane<br>Cell Junctions,"Endometrial cancer:1.12e-4 (favourable), Colorectal cancer:7.26e-4 (unfavourable)",Expressed in all,Mixed,NA,NA,spleen: 25.3,Cell line enhanced,NA,HMC-1: 52.2
ABCC5,"EST277145, MOAT-C, MRP5, SMRP",ENSG00000114770,ATP binding cassette subfamily C member 5,3,183919934-184018015,"Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA044067, HPA052295",Uncertain,NA,Supported,Nucleus<br>Plasma membrane<br>Cell Junctions,"Liver cancer:6.78e-8 (unfavourable), Prostate cancer:3.40e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,stomach: 72.6,Expressed in all,NA,NA
ABI1,"ABI-1, E3B1, SSH3BP1",ENSG00000136754,Abl interactor 1,10,26746593-26861087,"Cancer-related genes, Disease related genes, Predicted intracellular proteins",Evidence at protein level,"CAB008375, HPA029973, HPA068407",Approved,NA,Supported,Plasma membrane<br>Cell Junctions,NA,Expressed in all,Expressed in all,NA,NA,cerebral cortex: 87.4,Expressed in all,NA,NA
ABLIM3,KIAA0843,ENSG00000173210,Actin binding LIM protein family member 3,5,149141483-149260542,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA003245,Approved,NA,Approved,Nucleoplasm<br>Plasma membrane<br>Cell Junctions,Renal cancer:1.28e-4 (unfavourable),Mixed,Tissue enhanced,NA,parathyroid gland: 79.4,adipose tissue: 63.7,Cell line enhanced,NA,TIME: 84.5
ACOT13,"HT012, THEM2",ENSG00000112304,Acyl-CoA thioesterase 13,6,24667035-24705065,Predicted intracellular proteins,Evidence at protein level,HPA019881,Approved,NA,Approved,Cell Junctions,Ovarian cancer:2.53e-6 (favourable),Expressed in all,Expressed in all,NA,NA,kidney: 19.9,Expressed in all,NA,NA
ADAM22,MDC2,ENSG00000008277,ADAM metallopeptidase domain 22,7,87934143-88202889,"Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA050325,NA,NA,Approved,Cell Junctions,NA,Mixed,Tissue enhanced,NA,cerebral cortex: 47.6,prostate: 18.2,Cell line enhanced,NA,Karpas-707: 58.7;SH-SY5Y: 81.7
ADGRL2,"KIAA0786, LEC1, LPHH1, LPHN2",ENSG00000117114,Adhesion G protein-coupled receptor L2,1,81306160-81992436,"G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,HPA043447,NA,NA,Approved,Plasma membrane<br>Cell Junctions,"Endometrial cancer:1.33e-4 (unfavourable), Stomach cancer:3.00e-4 (unfavourable), Liver cancer:9.92e-4 (unfavourable)",Expressed in all,Mixed,NA,NA,thyroid gland: 73.2,Cell line enhanced,NA,AF22: 246.2;hTEC/SVTERT24-B: 124.0;SH-SY5Y: 176.4
AFDN,"AF-6, AF6, MLLT4",ENSG00000130396,"Afadin, adherens junction formation factor",6,167826922-167972023,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins",Evidence at protein level,"CAB013496, HPA030212, HPA030213, HPA030214, HPA030215, HPA049868",Approved,NA,Enhanced,Nucleoplasm<br>Plasma membrane<br>Cell Junctions,Breast cancer:7.43e-5 (unfavourable),Expressed in all,Expressed in all,NA,NA,esophagus: 110.7,Mixed,NA,NA
AGER,"RAGE, SCARJ1",ENSG00000204305,Advanced glycosylation end-product specific receptor,6,32180968-32184324,"Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"CAB011682, HPA064436",Enhanced,NA,Approved,Nucleoli fibrillar center<br>Plasma membrane<br>Cell Junctions,"Renal cancer:9.01e-7 (unfavourable), Urothelial cancer:2.74e-6 (favourable), Pancreatic cancer:3.41e-4 (favourable)",Expressed in all,Tissue enriched,181,lung: 889.2,thyroid gland: 4.9,Cell line enhanced,NA,HEK93: 2.5;U-266/70: 2.6
AGO2,"CASC7, EIF2C2, hAGO2, LINC00980, Q10",ENSG00000123908,"Argonaute 2, RISC catalytic component",8,140520156-140635619,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB019309, HPA058075",Approved,NA,Supported,Nucleoplasm<br>Cell Junctions,"Renal cancer:1.82e-5 (unfavourable), Endometrial cancer:1.21e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,parathyroid gland: 12.0,Expressed in all,NA,NA
AMOT,KIAA1071,ENSG00000126016,Angiomotin,X,112774503-112840815,Predicted intracellular proteins,Evidence at protein level,"HPA067290, HPA067853",Enhanced,NA,Supported,Nucleus<br>Cell Junctions,"Renal cancer:4.21e-9 (favourable), Lung cancer:3.94e-4 (favourable)",Expressed in all,Tissue enhanced,NA,epididymis: 177.9,seminal vesicle: 38.6,Cell line enhanced,NA,AF22: 24.7;HAP1: 28.1
AMOTL1,JEAP,ENSG00000166025,Angiomotin like 1,11,94706431-94876753,Predicted intracellular proteins,Evidence at protein level,HPA001196,Approved,NA,Supported,Cell Junctions<br>Cytosol,Renal cancer:5.03e-6 (favourable),Expressed in all,Expressed in all,NA,NA,prostate: 52.5,Mixed,NA,NA
AMOTL2,LCCP,ENSG00000114019,Angiomotin like 2,3,134355874-134375479,Predicted intracellular proteins,Evidence at protein level,HPA063027,NA,NA,Approved,Cell Junctions,Endometrial cancer:1.94e-4 (unfavourable),Expressed in all,Mixed,NA,NA,adipose tissue: 76.7,Cell line enhanced,NA,BEWO: 266.7
